Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SP3,"Spectur Limited (ASX:SP3)",https://www.listcorp.com/asx/sp3/spectur-limited,"	7866590",0.074,0.00,0,"Information Technology"
ASX:MR1,"Montem Resources Limited (ASX:MR1)",https://www.listcorp.com/asx/mr1/montem-resources-limited,"	7857680",0.044,0.00,10,Materials
ASX:ENV,"Enova Mining Limited (ASX:ENV)",https://www.listcorp.com/asx/env/enova-mining-limited,"	7789150",0.023,0.00,0,Materials
ASX:MOH,"Moho Resources NL (ASX:MOH)",https://www.listcorp.com/asx/moh/moho-resources-nl,"	7745660",0.07,-0.01,-6.67,Materials
ASX:NZS,"New Zealand Coastal Seafoods (ASX:NZS)",https://www.listcorp.com/asx/nzs/new-zealand-coastal-seafoods,"	7740200",0.012,-0.00,-7.69,"Consumer Staples"
ASX:IKW,"Ikwezi Mining (ASX:IKW)",https://www.listcorp.com/asx/ikw/ikwezi-mining,"	7723500",0.19,0.00,0,Energy
ASX:RNE,"Renu Energy Limited (ASX:RNE)",https://www.listcorp.com/asx/rne/renu-energy-limited,"	7700250",0.066,0.01,13.79,Utilities
ASX:TYX,"Tyranna Resources Limited (ASX:TYX)",https://www.listcorp.com/asx/tyx/tyranna-resources-limited,"	7694160",0.006,0.00,0,Materials
ASX:RBR,"RBR Group Limited (ASX:RBR)",https://www.listcorp.com/asx/rbr/rbr-group-limited,"	7691880",0.007,0.00,16.67,Materials
ASX:SRH,"Saferoads Holdings (ASX:SRH)",https://www.listcorp.com/asx/srh/saferoads-holdings,"	7679670",0.215,0.01,4.88,Industrials
ASX:WOO,"Wooboard Technologies Limited (ASX:WOO)",https://www.listcorp.com/asx/woo/wooboard-technologies-limited,"	7644320",0.003,0.00,50,"Information Technology"
ASX:AAP,"Australian Agricultural Projects (ASX:AAP)",https://www.listcorp.com/asx/aap/australian-agricultural-projects,"	7626040",0.025,0.00,0,"Consumer Staples"
ASX:PGO,"Pacgold Limited (ASX:PGO)",https://www.listcorp.com/asx/pgo/pacgold-limited,"	7619830",0.24,0.01,2.13,Materials
ASX:LV1,"Live Verdure Ltd (ASX:LV1)",https://www.listcorp.com/asx/lv1/live-verdure-ltd,"	7605180",0.195,0.00,2.63,"Consumer Staples"
ASX:CDR,"Codrus Minerals Limited (ASX:CDR)",https://www.listcorp.com/asx/cdr/codrus-minerals-limited,"	7600000",0.195,0.00,2.63,Materials
ASX:M24,"Mamba Exploration Limited (ASX:M24)",https://www.listcorp.com/asx/m24/mamba-exploration-limited,"	7585000",0.195,-0.01,-4.88,Materials
ASX:SBR,"Sabre Resources (ASX:SBR)",https://www.listcorp.com/asx/sbr/sabre-resources,"	7573790",0.0045,0.00,0,Materials
ASX:AVW,"Avira Resources Limited (ASX:AVW)",https://www.listcorp.com/asx/avw/avira-resources-limited,"	7562720",0.005,-0.00,-9.09,Materials
ASX:RLC,"Reedy Lagoon Corporation (ASX:RLC)",https://www.listcorp.com/asx/rlc/reedy-lagoon-corporation,"	7520420",0.016,0.00,0,Materials
ASX:OOK,"Ookami Limited (ASX:OOK)",https://www.listcorp.com/asx/ook/ookami-limited,"	7496650",1.76,0.00,0,"Information Technology"
ASX:JTL,"Jayex Technology Limited (ASX:JTL)",https://www.listcorp.com/asx/jtl/jayex-technology-limited,"	7495430",0.033,-0.00,-2.94,"Health Care"
ASX:HCD,"Hydrocarbon Dynamics Limited (ASX:HCD)",https://www.listcorp.com/asx/hcd/hydrocarbon-dynamics-limited,"	7484930",0.017,0.00,0,Energy
ASX:HHM,"Hampton Hill Mining NL (ASX:HHM)",https://www.listcorp.com/asx/hhm/hampton-hill-mining,"	7370130",0.025,0.00,0,Materials
ASX:TMX,"Terrain Minerals (ASX:TMX)",https://www.listcorp.com/asx/tmx/terrain-minerals,"	7357610",0.01,0.00,0,Materials
ASX:NMR,"Native Mineral Resources (ASX:NMR)",https://www.listcorp.com/asx/nmr/native-mineral-resources,"	7347440",0.255,0.00,0,Materials
ASX:FNT,"Frontier Resources (ASX:FNT)",https://www.listcorp.com/asx/fnt/frontier-resources,"	7336530",0.015,0.00,0,Materials
ASX:ZMI,"Zinc of Ireland NL (ASX:ZMI)",https://www.listcorp.com/asx/zmi/zinc-of-ireland-nl,"	7292710",0.057,0.00,0,Materials
ASX:DLT,"Delta Drone International Limited (ASX:DLT)",https://www.listcorp.com/asx/dlt/delta-drone-international-limited,"	7257160",0.022,-0.00,-12,"Information Technology"
ASX:AHN,"Athena Resources (ASX:AHN)",https://www.listcorp.com/asx/ahn/athena-resources,"	7220680",0.02,0.00,0,Materials
ASX:EAX,"Energy Action Limited (ASX:EAX)",https://www.listcorp.com/asx/eax/energy-action,"	7151980",0.265,0.00,0,Industrials
ASX:BHD,"Benjamin Hornigold Limited (ASX:BHD)",https://www.listcorp.com/asx/bhd/benjamin-hornigold-limited,"	7125800",0.3,0.00,1.69,Financials
ASX:FGO,"Fargo Enterprises Limited (ASX:FGO)",https://www.listcorp.com/asx/fgo/fargo-enterprises-limited,"	7114540",0.006,0.00,0,"Information Technology"
ASX:IDZ,"Indoor Skydive Australia (ASX:IDZ)",https://www.listcorp.com/asx/idz/indoor-skydive,"	7070700",0.019,-0.00,-9.52,"Consumer Discretionary"
